full_name,age,league,position,Current Club,minutes_played_overall,minutes_played_home,minutes_played_away,appearances_overall,appearances_home,appearances_away,goals_overall,goals_home,goals_away,assists_overall,penalty_goals,conceded_overall,conceded_home,conceded_away,yellow_cards_overall,goals_involved_per_90_overall,assists_per_90_overall,goals_per_90_overall,goals_per_90_home,goals_per_90_away,min_per_goal_overall,min_per_match,min_per_assist_overall
Jann-Fiete Arp,20,Bundesliga,Forward,Bayern München,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jannik Huth,26,Bundesliga,Goalkeeper,Paderborn,540,270,270,6,3,3,0,0,0,0,0,16,10,6,0,0,0,0,0,0,0,90,0
Javairo Dilrosun,22,Bundesliga,Forward,Hertha BSC,1312,747,565,23,11,12,4,3,1,2,0,19,9,10,2,0.41,0.14,0.27,0.36,0.16,328,57,656
Javi Martinez,32,Bundesliga,Midfielder,Bayern München,669,338,331,16,7,9,0,0,0,0,0,8,3,5,5,0,0,0,0,0,0,42,0
Jean Zimmer,26,Bundesliga,Defender,Fortuna Düsseldorf,718,241,477,17,7,10,0,0,0,0,0,11,0,11,2,0,0,0,0,0,0,42,0
Jean-Clair Todibo,20,Bundesliga,Midfielder,Schalke 04,364,189,175,8,3,5,0,0,0,0,0,7,3,4,2,0,0,0,0,0,0,46,0
Jean-Paul Boëtius,26,Bundesliga,Forward,Mainz 05,2270,1079,1191,28,14,14,4,2,2,5,0,55,24,31,5,0.36,0.2,0.16,0.17,0.15,568,81,454
Jean-Philippe Mateta,23,Bundesliga,Forward,Mainz 05,1056,619,437,18,11,7,3,1,2,1,1,17,11,6,2,0.34,0.09,0.26,0.15,0.41,352,59,1056
Jeffrey Bruma,28,Bundesliga,Defender,Mainz 05,1486,766,720,17,9,8,0,0,0,0,0,20,9,11,4,0,0,0,0,0,0,87,0
Jeffrey Gouweleeuw,29,Bundesliga,Defender,Augsburg,1642,825,817,21,10,11,0,0,0,1,0,32,16,16,5,0.05,0.05,0,0,0,0,78,1642
Jeremiah St. Juste,24,Bundesliga,Defender,Mainz 05,2116,965,1151,25,11,14,2,2,0,2,0,43,21,22,7,0.17,0.09,0.09,0.19,0,1058,85,1058
Jérôme Boateng,32,Bundesliga,Defender,Bayern München,1804,830,974,24,11,13,0,0,0,2,0,15,8,7,6,0.1,0.1,0,0,0,0,75,902
Jérôme Gondorf,32,Bundesliga,Midfielder,Freiburg,122,60,62,2,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,61,0
Jérôme Roussillon,27,Bundesliga,Defender,Wolfsburg,2367,1129,1238,29,14,15,1,0,1,1,0,35,18,17,4,0.08,0.04,0.04,0,0.07,2367,82,2367
Jessic Ngankam,20,Bundesliga,Forward,Hertha BSC,81,0,81,4,0,4,0,0,0,1,0,2,0,2,0,1.11,1.11,0,0,0,0,20,81
Jhon Cordoba,27,Bundesliga,Forward,Köln,2004,1174,830,29,17,12,13,11,2,2,0,40,18,22,5,0.67,0.09,0.58,0.84,0.22,154,69,1002
Jiří Pavlenka,28,Bundesliga,Goalkeeper,Werder Bremen,2970,1530,1440,33,17,16,0,0,0,0,0,64,33,31,1,0,0,0,0,0,0,90,0
João Victor Santos Sa,26,Bundesliga,Forward,Wolfsburg,1628,780,848,32,16,16,2,0,2,2,0,22,10,12,4,0.22,0.11,0.11,0,0.21,814,51,814
Joel Pohjanpalo,26,Bundesliga,Forward,Bayer Leverkusen,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Johannes Eggestein,22,Bundesliga,Forward,Werder Bremen,504,311,193,14,8,6,1,1,0,0,0,12,9,3,3,0.18,0,0.18,0.29,0,504,36,0
John Anthony Brooks,27,Bundesliga,Defender,Wolfsburg,2226,1064,1162,25,12,13,0,0,0,1,0,33,15,18,4,0.04,0.04,0,0,0,0,89,2226
Jonas Carls,23,Bundesliga,Defender,Schalke 04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jonas Hector,30,Bundesliga,Defender,Köln,2435,1363,1072,29,16,13,4,1,3,2,0,52,24,28,9,0.22,0.07,0.15,0.07,0.25,609,84,1218
Jonas Hofmann,28,Bundesliga,Midfielder,Borussia M'gladbach,1632,746,886,24,13,11,5,3,2,3,0,21,7,14,3,0.44,0.17,0.28,0.36,0.2,326,68,544
Jonas Hofmann,23,Bundesliga,Midfielder,Schalke 04,2,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
Jonas Hupe,20,Bundesliga,Goalkeeper,Borussia Dortmund,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jonathan Burkardt,20,Bundesliga,Forward,Mainz 05,251,24,227,8,3,5,1,0,1,0,0,4,0,4,0,0.36,0,0.36,0,0.4,251,31,0
Jonathan de Guzmán,33,Bundesliga,Midfielder,Eintracht Frankfurt,78,37,41,8,3,5,0,0,0,1,0,1,0,1,1,1.15,1.15,0,0,0,0,10,78
Jonathan Meier,21,Bundesliga,Midfielder,Mainz 05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jonathan Schmid,30,Bundesliga,Midfielder,Freiburg,2839,1316,1523,33,16,17,5,3,2,1,0,39,11,28,1,0.19,0.03,0.16,0.21,0.12,568,86,2839
Jonathan Tah,24,Bundesliga,Defender,Bayer Leverkusen,2090,1102,988,25,13,12,0,0,0,1,0,26,13,13,5,0.04,0.04,0,0,0,0,84,2090
Jonjoe Kenny,23,Bundesliga,Defender,Schalke 04,2725,1396,1329,31,16,15,2,1,1,3,0,47,21,26,5,0.17,0.1,0.07,0.06,0.07,1363,88,908
Jordan Torunarigha,23,Bundesliga,Defender,Hertha BSC,1460,720,740,18,8,10,1,0,1,1,0,25,12,13,3,0.12,0.06,0.06,0,0.12,1460,81,1460
Jorge Meré Pérez,23,Bundesliga,Defender,Köln,614,177,437,11,4,7,1,0,1,0,0,11,3,8,5,0.15,0,0.15,0,0.21,614,56,0
