full_name,age,league,position,current_club,minutes_played_overall,minutes_played_home,minutes_played_away,appearances_overall,appearances_home,appearances_away,goals_overall,goals_home,goals_away,assists_overall,penalty_goals,conceded_overall,conceded_home,conceded_away,yellow_cards_overall,goals_involved_per_90_overall,assists_per_90_overall,goals_per_90_overall,goals_per_90_home,goals_per_90_away,min_per_goal_overall,min_per_match,min_per_assist_overall
Iago Falqué Silva,30,Serie A,Forward,Genoa,620,287,333,14,7,7,2,1,1,1,2,12,4,8,0,0.44,0.15,0.29,0.31,0.27,310,44,620
Ibrahima M'baye,25,Serie A,Defender,Bologna,1506,783,723,20,10,10,0,0,0,3,0,26,11,15,5,0.18,0.18,0,0,0,0,75,502
Ignacio Pussetto,24,Serie A,Midfielder,Udinese,333,224,109,12,7,5,1,0,1,0,0,7,3,4,1,0.27,0,0.27,0,0.83,333,28,0
Igor Julio dos Santos de Paulo,22,Serie A,Defender,Fiorentina,1949,862,1087,26,13,13,0,0,0,1,0,32,14,18,9,0.05,0.05,0,0,0,0,75,1949
Ilario Monterisi,18,Serie A,Defender,Lecce,2,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
Ilija Nestorovski,30,Serie A,Forward,Udinese,1248,649,599,28,13,15,3,1,2,1,0,15,7,8,4,0.29,0.07,0.22,0.14,0.3,416,45,1248
Ionuț Andrei Radu,23,Serie A,Goalkeeper,Parma,1530,720,810,17,8,9,0,0,0,1,0,32,9,23,1,0.06,0.06,0,0,0,0,90,1530
Isaias Del Pupo,19,Serie A,Midfielder,Cagliari,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ismael Bennacer,22,Serie A,Midfielder,AC Milan,2488,1169,1319,31,14,17,1,1,0,0,0,32,12,20,14,0.04,0,0.04,0.08,0,2488,80,0
Ivan Radovanović,32,Serie A,Midfielder,Genoa,1317,694,623,19,10,9,0,0,0,1,0,28,8,20,3,0.07,0.07,0,0,0,0,69,1317
Jacob Rasmussen,23,Serie A,Defender,Fiorentina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jacopo Da Riva,20,Serie A,Midfielder,Atalanta,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jacopo Pellegrini,20,Serie A,Forward,Sassuolo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jacopo Petriccione,25,Serie A,Midfielder,Lecce,2141,1097,1044,31,15,16,0,0,0,5,0,45,25,20,10,0.21,0.21,0,0,0,0,69,428
Jacopo Sala,28,Serie A,Defender,SPAL,848,463,385,16,8,8,0,0,0,0,0,16,9,7,1,0,0,0,0,0,0,53,0
Jakub Iskra,18,Serie A,Defender,SPAL,76,32,44,2,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,38,0
Jakub Jankto,24,Serie A,Midfielder,Sampdoria,2103,1167,936,30,15,15,2,2,0,4,0,38,18,20,8,0.26,0.17,0.09,0.15,0,1052,70,526
Jan Kubala,20,Serie A,Midfielder,Udinese,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jandrei Chitolina Carniel,27,Serie A,Goalkeeper,Genoa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jaromír Zmrhal,27,Serie A,Midfielder,Brescia,1120,560,560,21,11,10,2,2,0,0,0,29,12,17,0,0.16,0,0.16,0.32,0,560,53,0
Jasmin Kurtič,31,Serie A,Midfielder,Parma,3076,1654,1422,36,19,17,4,3,1,1,0,51,26,25,10,0.15,0.03,0.12,0.16,0.06,769,85,3076
Jaume Cuéllar Mendoza,19,Serie A,Forward,SPAL,70,70,0,2,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,35,0
Javier Pastore,31,Serie A,Midfielder,Roma,512,263,249,11,6,5,0,0,0,1,0,4,3,1,0,0.18,0.18,0,0,0,0,47,512
Jawad El Yamiq,28,Serie A,Midfielder,Genoa,196,0,196,3,0,3,0,0,0,0,0,9,0,9,1,0,0,0,0,0,0,65,0
Jean Freddi Pascal Greco,19,Serie A,Midfielder,Torino,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jeison Murillo,28,Serie A,Defender,Sampdoria,664,295,369,10,5,5,0,0,0,0,0,14,5,9,3,0,0,0,0,0,0,66,0
Jens Larsen,29,Serie A,Defender,Udinese,2796,1283,1513,33,16,17,1,0,1,3,0,29,12,17,5,0.13,0.1,0.03,0,0.06,2796,85,932
Jerdy Schouten,23,Serie A,Forward,Bologna,1083,491,592,19,9,10,0,0,0,0,0,22,8,14,7,0,0,0,0,0,0,57,0
Jeremie Boga,23,Serie A,Midfielder,Sassuolo,2522,1169,1353,34,17,17,11,9,2,2,0,40,23,17,0,0.46,0.07,0.39,0.69,0.13,229,74,1261
Jeremy Toljan,26,Serie A,Defender,Sassuolo,2188,1055,1133,29,14,15,1,0,1,2,0,29,14,15,8,0.12,0.08,0.04,0,0.08,2188,75,1094
Jesse Joronen,27,Serie A,Goalkeeper,Brescia,2610,1170,1440,29,13,16,0,0,0,0,0,54,21,33,1,0,0,0,0,0,0,90,0
Jhon Carlos Chancellor Cedeño,28,Serie A,Defender,Brescia,2246,1080,1166,26,12,14,3,2,1,0,0,44,19,25,3,0.12,0,0.12,0.17,0.08,749,86,0
João Pedro,27,Serie A,Midfielder,Cagliari,3156,1699,1457,36,19,17,18,12,6,4,4,44,24,20,6,0.63,0.11,0.51,0.64,0.37,175,88,789
Joaquin Correa,26,Serie A,Midfielder,Lazio,2005,903,1102,30,14,16,9,5,4,2,0,24,10,14,0,0.49,0.09,0.4,0.5,0.33,223,67,1003
Jony Rodríguez,29,Serie A,Midfielder,Lazio,1176,628,548,24,14,10,0,0,0,1,0,14,8,6,4,0.08,0.08,0,0,0,0,49,1176
Jordan Lukaku,26,Serie A,Defender,Lazio,385,156,229,13,5,8,0,0,0,2,0,3,1,2,2,0.47,0.47,0,0,0,0,30,193
Jordan Veretout,27,Serie A,Midfielder,Roma,2633,1467,1166,33,17,16,6,5,1,0,5,34,20,14,6,0.21,0,0.21,0.31,0.08,439,80,0
Jorge Filipe Soares Silva,21,Serie A,Defender,Lazio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
José Callejón,33,Serie A,Forward,Napoli,2177,1331,846,33,17,16,4,3,1,7,0,32,17,15,2,0.45,0.29,0.17,0.2,0.11,544,66,311
