full_name,age,league,position,current_club,minutes_played_overall,minutes_played_home,minutes_played_away,appearances_overall,appearances_home,appearances_away,goals_overall,goals_home,goals_away,assists_overall,penalty_goals,conceded_overall,conceded_home,conceded_away,yellow_cards_overall,goals_involved_per_90_overall,assists_per_90_overall,goals_per_90_overall,goals_per_90_home,goals_per_90_away,min_per_goal_overall,min_per_match,min_per_assist_overall
Luiz Felipe,28,Serie A,Goalkeeper,Lazio,2029,1035,994,26,13,13,1,1,0,1,0,22,9,13,6,0.09,0.04,0.04,0.09,0,2029,78,2029
Luka Dumancic,22,Serie A,Defender,Lecce,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lukáš Haraslín,24,Serie A,Midfielder,Sassuolo,381,163,218,11,5,6,1,0,1,0,0,5,2,3,1,0.24,0,0.24,0,0.41,381,35,0
Lukas Lerager,27,Serie A,Midfielder,Genoa,1385,682,703,21,10,11,1,0,1,1,0,32,10,22,5,0.13,0.06,0.06,0,0.13,1385,66,1385
Lyanco,23,Serie A,Defender,Torino,1181,692,489,17,10,7,0,0,0,0,0,24,13,11,5,0,0,0,0,0,0,69,0
Manolo Gabbiadini,28,Serie A,Forward,Sampdoria,2039,1143,896,33,16,17,11,7,4,1,1,35,19,16,2,0.53,0.04,0.49,0.55,0.4,185,62,2039
Manolo Portanova,20,Serie A,Midfielder,Juventus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Manuel Lazzari,26,Serie A,Midfielder,Lazio,2555,1193,1362,32,15,17,0,0,0,3,0,30,12,18,6,0.11,0.11,0,0,0,0,80,852
Manuel Locatelli,22,Serie A,Midfielder,Sassuolo,2597,1294,1303,33,16,17,0,0,0,5,0,41,20,21,9,0.17,0.17,0,0,0,0,79,519
Marash Kumbulla,20,Serie A,Defender,Hellas Verona,1958,992,966,25,12,13,1,1,0,0,0,20,12,8,7,0.05,0,0.05,0.09,0,1958,78,0
Marcelo Brozović,27,Serie A,Midfielder,Inter Milan,2703,1182,1521,32,14,18,3,2,1,6,0,28,12,16,9,0.3,0.2,0.1,0.15,0.06,901,84,451
Marco Alia,20,Serie A,Goalkeeper,Lazio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marco Ballarini,19,Serie A,Midfielder,Udinese,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marco Benassi,26,Serie A,Midfielder,Fiorentina,976,355,621,18,8,10,1,0,1,1,0,9,2,7,1,0.18,0.09,0.09,0,0.14,976,54,976
Marco Bleve,25,Serie A,Goalkeeper,Lecce,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marco Brescianini,20,Serie A,Midfielder,AC Milan,24,24,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0
Marco Calderoni,31,Serie A,Defender,Lecce,2067,1081,986,26,13,13,3,1,2,2,0,58,29,29,7,0.22,0.09,0.13,0.08,0.18,689,80,1034
Marco D'Alessandro,29,Serie A,Midfielder,SPAL,787,515,272,15,9,6,2,2,0,0,0,14,11,3,1,0.23,0,0.23,0.35,0,394,52,0
Marco Mancosu,32,Serie A,Midfielder,Lecce,2444,1325,1119,33,16,17,14,6,8,2,9,61,33,28,3,0.59,0.07,0.52,0.41,0.64,175,74,1222
Marco Meneghetti,19,Serie A,Goalkeeper,SPAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marco Molla,0,Serie A,Goalkeeper,Bologna,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marco Olivieri,21,Serie A,Midfielder,Juventus,27,18,9,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0
Marco Parolo,35,Serie A,Midfielder,Lazio,1692,612,1080,29,13,16,1,0,1,0,0,22,9,13,8,0.05,0,0.05,0,0.08,1692,58,0
Marco Pompetti,20,Serie A,Midfielder,Sampdoria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marco Silvestri,29,Serie A,Goalkeeper,Hellas Verona,3150,1530,1620,35,17,18,0,0,0,0,0,37,18,19,2,0,0,0,0,0,0,90,0
Marco Sportiello,28,Serie A,Goalkeeper,Atalanta,526,346,180,6,4,2,0,0,0,0,0,5,4,1,0,0,0,0,0,0,0,88,0
Mario Balotelli,30,Serie A,Forward,Brescia,1417,809,608,19,11,8,5,1,4,0,0,27,13,14,7,0.32,0,0.32,0.11,0.59,283,75,0
Mario Mandžukić,34,Serie A,Forward,Juventus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mario Pašalić,25,Serie A,Midfielder,Atalanta,2426,1224,1202,35,16,19,9,7,2,5,0,32,19,13,6,0.52,0.19,0.33,0.51,0.15,270,69,485
Mário Rui Silva Duarte,29,Serie A,Defender,Napoli,1968,968,1000,24,11,13,0,0,0,2,0,32,14,18,9,0.09,0.09,0,0,0,0,82,984
Mariusz Stępiński,25,Serie A,Forward,Hellas Verona,697,310,387,21,10,11,3,1,2,1,0,7,4,3,4,0.52,0.13,0.39,0.29,0.47,232,33,697
Márk Kosznovszky,18,Serie A,Midfielder,Parma,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marko Janković,25,Serie A,Midfielder,SPAL,111,75,36,6,2,4,0,0,0,0,0,2,1,1,1,0,0,0,0,0,0,19,0
Marko Pajač,27,Serie A,Midfielder,Genoa,758,354,404,11,6,5,0,0,0,0,0,16,4,12,1,0,0,0,0,0,0,69,0
Marko Pjaca,25,Serie A,Midfielder,Juventus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marko Rog,25,Serie A,Midfielder,Cagliari,2329,1113,1216,30,14,16,1,1,0,1,0,40,20,20,10,0.08,0.04,0.04,0.08,0,2329,78,2329
Marlon Santos,25,Serie A,Defender,Sassuolo,1819,850,969,23,12,11,0,0,0,0,0,30,13,17,8,0,0,0,0,0,0,79,0
Marten de Roon,29,Serie A,Midfielder,Atalanta,2717,1513,1204,35,18,17,2,1,1,5,0,36,21,15,12,0.23,0.17,0.07,0.06,0.07,1359,78,543
Martín Cáceres,33,Serie A,Defender,Fiorentina,2358,1188,1170,27,14,13,1,0,1,0,0,23,10,13,10,0.04,0,0.04,0,0.08,2358,87,0
Martin Palumbo,18,Serie A,Midfielder,Udinese,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Martin Škrtel,35,Serie A,Defender,Atalanta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marvin Zeegelaar,30,Serie A,Defender,Udinese,591,161,430,13,6,7,0,0,0,1,0,7,5,2,3,0.15,0.15,0,0,0,0,45,591
Massimiliano Mangraviti,22,Serie A,Midfielder,Brescia,974,654,320,13,8,5,0,0,0,0,0,26,12,14,2,0,0,0,0,0,0,75,0
Mateo Musacchio,30,Serie A,Defender,AC Milan,1467,731,736,18,9,9,0,0,0,0,0,19,6,13,5,0,0,0,0,0,0,82,0
Matias Fonseca,19,Serie A,Forward,Inter Milan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Matías Vecino,29,Serie A,Midfielder,Inter Milan,1280,631,649,20,9,11,2,2,0,2,0,12,5,7,4,0.28,0.14,0.14,0.29,0,640,64,640
Mato Jajalo,32,Serie A,Midfielder,Udinese,1651,1044,607,26,16,10,0,0,0,0,0,25,15,10,8,0,0,0,0,0,0,64,0
Matteo Cardinalli,19,Serie A,Goalkeeper,Roma,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Matteo Darmian,30,Serie A,Defender,Parma,2685,1352,1333,33,16,17,1,0,1,1,0,44,17,27,6,0.07,0.03,0.03,0,0.07,2685,81,2685
Matteo Gabbia,21,Serie A,Midfielder,AC Milan,678,316,362,9,4,5,0,0,0,0,0,8,3,5,1,0,0,0,0,0,0,75,0
Matteo Lovato,20,Serie A,Defender,Hellas Verona,8,8,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0
Matteo Pessina,23,Serie A,Midfielder,Hellas Verona,2487,1243,1244,35,17,18,7,4,3,0,0,35,17,18,7,0.25,0,0.25,0.29,0.22,355,71,0
Matteo Politano,27,Serie A,Forward,Napoli,997,396,601,26,12,14,2,2,0,2,0,11,2,9,1,0.36,0.18,0.18,0.45,0,499,38,499
Matteo Raspa,19,Serie A,Goalkeeper,Sampdoria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Matteo Scozzarella,32,Serie A,Midfielder,Parma,926,492,434,16,8,8,0,0,0,3,0,12,5,7,2,0.29,0.29,0,0,0,0,58,309
Matteo Soncin,19,Serie A,Goalkeeper,AC Milan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Matthijs de Ligt,21,Serie A,Defender,Juventus,2448,1172,1276,29,14,15,4,2,2,0,0,28,11,17,5,0.15,0,0.15,0.15,0.14,612,84,0
Mattia Bani,26,Serie A,Defender,Bologna,2211,1117,1094,27,13,14,4,3,1,0,0,37,17,20,13,0.16,0,0.16,0.24,0.08,553,82,0
Mattia Caldara,26,Serie A,Defender,Atalanta,959,502,457,14,7,7,0,0,0,1,0,12,6,6,1,0.09,0.09,0,0,0,0,69,959
Mattia Compagnon,19,Serie A,Midfielder,Udinese,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mattia De Sciglio,28,Serie A,Defender,Juventus,470,118,352,9,3,6,0,0,0,0,0,2,0,2,1,0,0,0,0,0,0,52,0
Mattia Destro,29,Serie A,Forward,Genoa,328,196,132,13,6,7,0,0,0,0,0,6,3,3,2,0,0,0,0,0,0,25,0
Mattia Perin,28,Serie A,Goalkeeper,Genoa,1890,990,900,21,11,10,0,0,0,0,0,36,19,17,1,0,0,0,0,0,0,90,0
Mattia Sandri,19,Serie A,Midfielder,Torino,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mattia Sprocati,27,Serie A,Midfielder,Parma,578,250,328,20,9,11,1,1,0,0,0,9,4,5,0,0.16,0,0.16,0.36,0,578,29,0
Mattia Valoti,27,Serie A,Midfielder,SPAL,1531,735,796,27,14,13,3,1,2,1,0,26,12,14,7,0.24,0.06,0.18,0.12,0.23,510,57,1531
Mattia Viviani,20,Serie A,Midfielder,Brescia,340,74,266,8,4,4,0,0,0,0,0,12,0,12,0,0,0,0,0,0,0,43,0
Mattia Zaccagni,25,Serie A,Midfielder,Hellas Verona,2125,913,1212,34,16,18,2,2,0,5,0,30,14,16,5,0.3,0.21,0.08,0.2,0,1063,63,425
Mattias Svanberg,21,Serie A,Midfielder,Bologna,1048,630,418,25,12,13,1,1,0,2,0,24,12,12,2,0.26,0.17,0.09,0.14,0,1048,42,524
Mauro Vigorito,30,Serie A,Goalkeeper,Lecce,422,180,242,5,2,3,0,0,0,0,0,8,1,7,1,0,0,0,0,0,0,84,0
Maximiliano Olivera,28,Serie A,Defender,Fiorentina,8,8,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0
Maya Yoshida,32,Serie A,Defender,Sampdoria,1186,466,720,14,6,8,0,0,0,1,0,19,6,13,1,0.08,0.08,0,0,0,0,85,1186
Mehdi Bourabia,29,Serie A,Midfielder,Sassuolo,921,608,313,17,11,6,1,0,1,2,0,18,11,7,7,0.29,0.2,0.1,0,0.29,921,54,461
Mehdi Pascal Marcel Léris,22,Serie A,Midfielder,Sampdoria,500,194,306,15,7,8,1,0,1,1,0,11,2,9,0,0.36,0.18,0.18,0,0.29,500,33,500
Memeh Caleb Okoli,19,Serie A,Defender,Atalanta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Merih Demiral,22,Serie A,Defender,Juventus,418,309,109,6,4,2,1,0,1,1,0,3,2,1,1,0.43,0.22,0.22,0,0.83,418,70,418
Mert Müldür,21,Serie A,Defender,Sassuolo,1267,611,656,24,10,14,2,1,1,1,0,22,16,6,4,0.21,0.07,0.14,0.15,0.14,634,53,1267
Michel Ndary Adopo,0,Serie A,Midfielder,Torino,2,2,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Michele Cerofolini,21,Serie A,Goalkeeper,Fiorentina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Michele Laraspata,19,Serie A,Defender,Lecce,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Miguel Veloso,34,Serie A,Midfielder,Hellas Verona,2816,1343,1473,34,17,17,3,2,1,4,0,33,16,17,6,0.22,0.13,0.1,0.13,0.06,939,83,704
Mihael Onișa,20,Serie A,Midfielder,Torino,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Milan Badelj,31,Serie A,Midfielder,Fiorentina,1593,790,803,22,11,11,1,1,0,0,0,25,14,11,3,0.06,0,0.06,0.11,0,1593,72,0
Milan Škriniar,25,Serie A,Defender,Inter Milan,2628,1111,1517,32,14,18,0,0,0,0,0,29,12,17,9,0,0,0,0,0,0,82,0
Miralem Pjanić,30,Serie A,Midfielder,Juventus,2286,983,1303,30,13,17,3,2,1,6,0,26,8,18,10,0.35,0.24,0.12,0.18,0.07,762,76,381
Mirko Antonucci,21,Serie A,Midfielder,Roma,81,81,0,2,2,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,41,0
Mirko Valdifiori,34,Serie A,Midfielder,SPAL,1399,700,699,22,9,13,0,0,0,3,0,26,16,10,5,0.19,0.19,0,0,0,0,64,466
Mitchell Dijks,27,Serie A,Defender,Bologna,1008,468,540,13,7,6,0,0,0,0,0,16,6,10,5,0,0,0,0,0,0,78,0
Mohamed Bahlouli,20,Serie A,Midfielder,Sampdoria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mohamed Fares,24,Serie A,Defender,SPAL,421,223,198,8,5,3,0,0,0,0,0,7,2,5,2,0,0,0,0,0,0,53,0
Morten Thorsby,24,Serie A,Midfielder,Sampdoria,1866,713,1153,24,10,14,1,0,1,1,0,33,12,21,9,0.1,0.05,0.05,0,0.08,1866,78,1866
Mouhamadou Fallou Mbacke Sarr,23,Serie A,Goalkeeper,Bologna,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Musa Barrow,22,Serie A,Forward,Bologna,1539,888,651,25,14,11,9,4,5,4,1,24,13,11,1,0.76,0.23,0.53,0.41,0.69,171,62,385
Musa Juwara,18,Serie A,Midfielder,Bologna,148,104,44,7,4,3,1,0,1,0,0,2,1,1,1,0.61,0,0.61,0,2.05,148,21,0
Nahitan Michel Nández Acosta,24,Serie A,Midfielder,Cagliari,2901,1381,1520,35,17,18,2,1,1,3,0,42,17,25,14,0.16,0.09,0.06,0.07,0.06,1451,83,967
Nehuén Mario Paz,27,Serie A,Defender,Lecce,961,381,580,16,8,8,0,0,0,1,0,22,8,14,5,0.09,0.09,0,0,0,0,60,961
Nenad Tomović,33,Serie A,Defender,SPAL,1755,857,898,23,11,12,0,0,0,1,0,36,14,22,6,0.05,0.05,0,0,0,0,76,1755
Niccolò Chiorra,19,Serie A,Goalkeeper,Fiorentina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nicholas Opoku,23,Serie A,Defender,Udinese,482,90,392,7,1,6,0,0,0,0,0,6,0,6,3,0,0,0,0,0,0,69,0
Nicky Medja Beloko,20,Serie A,Midfielder,Fiorentina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nicola Murru,25,Serie A,Defender,Sampdoria,2261,1005,1256,28,12,16,0,0,0,0,0,43,16,27,6,0,0,0,0,0,0,81,0
Nicola Rauti,20,Serie A,Forward,Torino,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nicola Sansone,29,Serie A,Forward,Bologna,2273,1070,1203,33,16,17,4,2,2,3,3,39,15,24,5,0.28,0.12,0.16,0.17,0.15,568,69,758
Nicolas David Andrade,32,Serie A,Goalkeeper,Udinese,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nicolás Domínguez,22,Serie A,Midfielder,Bologna,696,348,348,16,8,8,0,0,0,1,0,10,2,8,1,0.13,0.13,0,0,0,0,44,696
Nicolas N'Koulou,30,Serie A,Defender,Torino,2692,1350,1342,31,15,16,1,1,0,0,0,52,24,28,6,0.03,0,0.03,0.07,0,2692,87,0
Nicolò Armini,19,Serie A,Defender,Lazio,2,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
Nicolò Barella,23,Serie A,Midfielder,Inter Milan,2015,939,1076,27,12,15,1,1,0,4,0,21,9,12,11,0.22,0.18,0.04,0.1,0,2015,75,504
Nicolo Radaelli,19,Serie A,Goalkeeper,Genoa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nicolò Rovella,18,Serie A,Midfielder,Genoa,105,77,28,2,1,1,0,0,0,0,0,3,1,2,0,0,0,0,0,0,0,53,0
Nicolò Zaniolo,21,Serie A,Midfielder,Roma,1503,774,729,26,13,13,6,2,4,2,0,17,11,6,8,0.48,0.12,0.36,0.23,0.49,251,58,752
Nikola Kalinić,32,Serie A,Forward,Roma,565,153,412,15,9,6,5,0,5,1,0,9,2,7,1,0.96,0.16,0.8,0,1.09,113,38,565
Nikola Maksimović,28,Serie A,Defender,Napoli,1799,899,900,22,12,10,1,1,0,1,0,22,11,11,4,0.1,0.05,0.05,0.1,0,1799,82,1799
Nikola Milenković,23,Serie A,Defender,Fiorentina,3257,1637,1620,37,19,18,5,3,2,0,0,41,21,20,9,0.14,0,0.14,0.16,0.11,651,88,0
Nikolas Špalek,23,Serie A,Forward,Brescia,1591,733,858,25,13,12,2,1,1,1,0,32,12,20,5,0.17,0.06,0.11,0.12,0.1,796,64,1591
Ola Aina,24,Serie A,Defender,Torino,2075,1001,1074,32,18,14,0,0,0,2,0,38,11,27,8,0.09,0.09,0,0,0,0,65,1038
Omar Colley,28,Serie A,Defender,Sampdoria,2771,1530,1241,31,17,14,0,0,0,1,0,50,26,24,10,0.03,0.03,0,0,0,0,89,2771
Orestis Karnezis,35,Serie A,Goalkeeper,Napoli,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Panagiotis Tachtsidis,29,Serie A,Midfielder,Lecce,2006,944,1062,28,14,14,0,0,0,2,0,52,21,31,7,0.09,0.09,0,0,0,0,72,1003
Paolo Cannistrà,20,Serie A,Defender,SPAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paolo Ghiglione,23,Serie A,Midfielder,Genoa,1718,862,856,25,13,12,0,0,0,5,0,36,13,23,4,0.26,0.26,0,0,0,0,69,344
Paolo Pancrazio Faragò,27,Serie A,Midfielder,Cagliari,1338,710,628,21,11,10,1,1,0,1,0,22,8,14,3,0.13,0.07,0.07,0.13,0,1338,64,1338
Patric,27,Serie A,Defender,Lazio,1675,825,850,21,10,11,0,0,0,0,0,19,7,12,3,0,0,0,0,0,0,80,0
Patrick Cutrone,22,Serie A,Forward,Fiorentina,837,339,498,19,10,9,4,3,1,1,0,4,1,3,1,0.54,0.11,0.43,0.8,0.18,209,44,837
Patrick Enrici,19,Serie A,Defender,Torino,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Patrik Schick,24,Serie A,Forward,Roma,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pau López,25,Serie A,Goalkeeper,Roma,2880,1530,1350,32,17,15,0,0,0,0,0,43,23,20,3,0,0,0,0,0,0,90,0
Paulo Dybala,26,Serie A,Forward,Juventus,2165,1071,1094,33,18,15,11,5,6,6,1,21,7,14,5,0.71,0.25,0.46,0.42,0.49,197,66,361
Paweł Dawidowicz,25,Serie A,Defender,Hellas Verona,688,357,331,15,8,7,1,1,0,0,0,7,2,5,5,0.13,0,0.13,0.25,0,688,46,0
Pedro Guilherme Abreu dos Santos,23,Serie A,Forward,Fiorentina,59,47,12,4,3,1,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,15,0
Pedro Obiang,28,Serie A,Midfielder,Sassuolo,1670,718,952,25,12,13,1,0,1,1,0,31,15,16,10,0.11,0.05,0.05,0,0.09,1670,67,1670
Pepe Reina,38,Serie A,Goalkeeper,AC Milan,90,0,90,1,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,90,0
Peter Ankersen,30,Serie A,Defender,Genoa,1060,583,477,19,10,9,0,0,0,1,0,16,8,8,2,0.08,0.08,0,0,0,0,56,1060
Pierluigi Gollini,25,Serie A,Goalkeeper,Atalanta,2884,1354,1530,33,16,17,0,0,0,0,0,37,19,18,3,0,0,0,0,0,0,87,0
Pietro Beruatto,21,Serie A,Defender,Juventus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pietro Terracciano,30,Serie A,Goalkeeper,Fiorentina,625,175,450,7,2,5,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,89,0
Piotr Zieliński,26,Serie A,Midfielder,Napoli,2926,1483,1443,37,18,19,2,1,1,4,0,40,19,21,4,0.18,0.12,0.06,0.06,0.06,1463,79,732
Pol Lirola,23,Serie A,Defender,Fiorentina,2653,1340,1313,35,18,17,0,0,0,2,0,34,17,17,4,0.07,0.07,0,0,0,0,76,1327
Rachid Ghezzal,28,Serie A,Forward,Fiorentina,825,342,483,19,8,11,1,0,1,0,0,11,4,7,5,0.11,0,0.11,0,0.19,825,43,0
Rade Krunić,27,Serie A,Midfielder,AC Milan,529,415,114,15,10,5,0,0,0,1,0,6,6,0,3,0.17,0.17,0,0,0,0,35,529
Radja Nainggolan,32,Serie A,Midfielder,Cagliari,2082,1034,1048,26,14,12,6,4,2,7,0,32,16,16,5,0.56,0.3,0.26,0.35,0.17,347,80,297
Rafael Alexandre Conceição Leão,21,Serie A,Forward,AC Milan,1392,741,651,31,17,14,6,2,4,1,0,20,11,9,0,0.45,0.06,0.39,0.24,0.55,232,45,1392
Rafael de Andrade Bittencourt Pinheiro,38,Serie A,Goalkeeper,Cagliari,453,270,183,6,3,3,0,0,0,0,0,8,4,4,0,0,0,0,0,0,0,76,0
Rafael Tolói,30,Serie A,Defender,Atalanta,2606,1374,1232,33,17,16,2,2,0,6,0,34,20,14,11,0.28,0.21,0.07,0.13,0,1303,79,434
Ragnar Klavan,35,Serie A,Defender,Cagliari,2351,1193,1158,31,16,15,0,0,0,0,0,36,18,18,4,0,0,0,0,0,0,76,0
Raoul Bellanova,20,Serie A,Defender,Atalanta,17,17,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,17,0
Raul Moro Prescoli,17,Serie A,Forward,Lazio,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Razvan Sava,18,Serie A,Goalkeeper,Lecce,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Remo Freuler,28,Serie A,Midfielder,Atalanta,2344,1074,1270,31,15,16,2,1,1,2,0,29,11,18,3,0.15,0.08,0.08,0.08,0.07,1172,76,1172
Ricardo Rodríguez,28,Serie A,Defender,AC Milan,388,162,226,5,2,3,0,0,0,0,0,3,1,2,0,0,0,0,0,0,0,78,0
Riccardo Calafiori,18,Serie A,Defender,Roma,60,0,60,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,60,0
Riccardo Gagliolo,30,Serie A,Defender,Parma,2606,1363,1243,32,17,15,3,1,2,2,0,40,19,21,7,0.17,0.07,0.1,0.07,0.14,869,81,1303
Riccardo Ladinetti,19,Serie A,Midfielder,Cagliari,126,98,28,3,2,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,42,0
Riccardo Mastrilli,23,Serie A,Defender,SPAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Riccardo Orsolini,23,Serie A,Forward,Bologna,2694,1287,1407,37,18,19,8,2,6,6,0,48,20,28,3,0.47,0.2,0.27,0.14,0.38,337,73,449
Riccardo Saponara,28,Serie A,Midfielder,Lecce,1118,707,411,17,11,6,2,2,0,4,0,25,19,6,4,0.48,0.32,0.16,0.25,0,559,66,280
Riccardo Sottil,21,Serie A,Forward,Fiorentina,505,214,291,18,8,10,0,0,0,0,0,15,8,7,3,0,0,0,0,0,0,28,0
Roberto Gagliardini,26,Serie A,Midfielder,Inter Milan,1804,887,917,24,12,12,4,2,2,2,0,23,11,12,5,0.3,0.1,0.2,0.2,0.2,451,75,902
Roberto Inglese,28,Serie A,Forward,Parma,765,421,344,17,9,8,4,2,2,0,0,13,5,8,1,0.47,0,0.47,0.43,0.52,191,45,0
Roberto Piccoli,19,Serie A,Forward,Atalanta,16,16,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,16,0
Roberto Pierno,19,Serie A,Defender,Lecce,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Roberto Soriano,29,Serie A,Midfielder,Bologna,2480,1040,1440,29,12,17,5,3,2,5,0,37,13,24,6,0.36,0.18,0.18,0.26,0.13,496,86,496
Robin Gosens,26,Serie A,Defender,Atalanta,2628,1405,1223,34,17,17,9,5,4,8,0,34,18,16,3,0.58,0.27,0.31,0.32,0.29,292,77,329
Robin Olsen,30,Serie A,Goalkeeper,Cagliari,1525,720,805,17,8,9,0,0,0,0,0,23,13,10,1,0,0,0,0,0,0,90,0
Rodrigo Bentancur,23,Serie A,Midfielder,Juventus,2199,1072,1127,30,15,15,0,0,0,7,0,25,8,17,9,0.29,0.29,0,0,0,0,73,314
Rodrigo De Paul,26,Serie A,Midfielder,Udinese,2828,1343,1485,34,16,18,7,2,5,6,0,38,16,22,6,0.41,0.19,0.22,0.13,0.3,404,83,471
Rodrigo Guth,20,Serie A,Defender,Atalanta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rodrigo Nascimiento Franca,24,Serie A,Defender,Udinese,2211,1216,995,29,16,13,1,1,0,1,0,31,15,16,8,0.08,0.04,0.04,0.07,0,2211,76,2211
Rodrigo Palacio,38,Serie A,Forward,Bologna,2521,1300,1221,35,18,17,7,6,1,3,0,41,21,20,5,0.36,0.11,0.25,0.42,0.07,360,72,840
Roger Ibanez da Silva,21,Serie A,Midfielder,Roma,615,361,254,9,5,4,0,0,0,0,0,8,5,3,1,0,0,0,0,0,0,68,0
Rogério Oliveira da Silva,22,Serie A,Defender,Sassuolo,1021,385,636,15,5,10,1,1,0,1,0,13,6,7,6,0.18,0.09,0.09,0.23,0,1021,68,1021
Rolando Mandragora,23,Serie A,Midfielder,Udinese,2054,975,1079,26,12,14,0,0,0,2,0,29,6,23,2,0.09,0.09,0,0,0,0,79,1027
Romario Sandu Benzar,28,Serie A,Midfielder,Lecce,97,79,18,3,2,1,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,32,0
Romelu Lukaku,27,Serie A,Forward,Inter Milan,2984,1519,1465,36,18,18,23,8,15,2,6,30,16,14,2,0.75,0.06,0.69,0.47,0.92,130,83,1492
