full_name,age,league,position,Current Club,minutes_played_overall,minutes_played_home,minutes_played_away,appearances_overall,appearances_home,appearances_away,goals_overall,goals_home,goals_away,assists_overall,penalty_goals,conceded_overall,conceded_home,conceded_away,yellow_cards_overall,goals_involved_per_90_overall,assists_per_90_overall,goals_per_90_overall,goals_per_90_home,goals_per_90_away,min_per_goal_overall,min_per_match,min_per_assist_overall
Fodé Ballo Touré,23,Ligue 1,Midfielder,Monaco,1676,854,822,21,11,10,0,0,0,0,0,36,18,18,4,0,0,0,0,0,0,80,0
Fouad Chafik,34,Ligue 1,Defender,Dijon,1530,829,701,20,11,9,0,0,0,2,0,20,9,11,1,0.12,0.12,0,0,0,0,77,765
Fousseni Diabaté,25,Ligue 1,Midfielder,Amiens SC,1199,583,616,20,10,10,1,1,0,3,0,26,12,14,3,0.3,0.23,0.08,0.15,0,1199,60,400
Franck Honorat,24,Ligue 1,Forward,Saint-Étienne,849,417,432,12,6,6,0,0,0,3,0,13,5,8,1,0.32,0.32,0,0,0,0,71,283
François Kamano,24,Ligue 1,Forward,Bordeaux,647,301,346,11,5,6,1,1,0,0,0,6,1,5,1,0.14,0,0.14,0.3,0,647,59,0
Frédéric Sammaritano,34,Ligue 1,Midfielder,Dijon,520,350,170,10,6,4,1,1,0,2,0,9,5,4,0,0.52,0.35,0.17,0.26,0,520,52,260
Gabriel Boschilia,24,Ligue 1,Midfielder,Monaco,127,46,81,5,3,2,0,0,0,0,0,4,1,3,0,0,0,0,0,0,0,25,0
Gabriel dos Santos Magalhães,22,Ligue 1,Defender,Lille,2087,1066,1021,24,12,12,1,0,1,0,0,19,4,15,3,0.04,0,0.04,0,0.09,2087,87,0
Gabriel Silva,29,Ligue 1,Defender,Saint-Étienne,231,141,90,4,3,1,0,0,0,0,0,4,2,2,0,0,0,0,0,0,0,58,0
Gaël Kakuta,29,Ligue 1,Forward,Amiens SC,2010,979,1031,24,12,12,2,1,1,5,0,35,15,20,4,0.31,0.22,0.09,0.09,0.09,1005,84,402
Gaëtan Belaud,34,Ligue 1,Defender,Brest,580,224,356,7,3,4,0,0,0,0,0,7,3,4,0,0,0,0,0,0,0,83,0
Gaëtan Charbonnier,31,Ligue 1,Forward,Brest,2068,1139,929,26,14,12,4,2,2,5,0,27,10,17,5,0.39,0.22,0.17,0.16,0.19,517,80,414
Gaëtan Laborde,26,Ligue 1,Forward,Montpellier,2250,1210,1040,28,14,14,6,5,1,5,0,26,9,17,1,0.44,0.2,0.24,0.37,0.09,375,80,450
Gaëtan Paquiez,26,Ligue 1,Midfielder,Nîmes,1531,508,1023,21,8,13,0,0,0,0,0,27,5,22,6,0,0,0,0,0,0,73,0
Gaëtan Poussin,21,Ligue 1,Goalkeeper,Bordeaux,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Garissone Innocent,20,Ligue 1,Goalkeeper,PSG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gautier Larsonneur,23,Ligue 1,Goalkeeper,Brest,2398,1170,1228,27,13,14,0,0,0,0,0,33,11,22,2,0,0,0,0,0,0,89,0
Gautier Lloris,25,Ligue 1,Defender,Nice,270,0,270,3,0,3,0,0,0,0,0,7,0,7,1,0,0,0,0,0,0,90,0
Gelson Dany Batalha Martins,25,Ligue 1,Forward,Monaco,1682,883,799,21,10,11,4,2,2,1,0,32,18,14,4,0.27,0.05,0.21,0.2,0.23,421,80,1682
Gen Shōji,27,Ligue 1,Defender,Toulouse,46,46,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0
Georges Mikautadze,20,Ligue 1,Forward,Metz,7,0,7,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0
Gerónimo Rulli,28,Ligue 1,Goalkeeper,Montpellier,2250,1170,1080,25,13,12,0,0,0,0,0,27,9,18,0,0,0,0,0,0,0,90,0
Gerzino Nyamsi,23,Ligue 1,Defender,Rennes,113,44,69,4,1,3,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,28,0
Ghislain Konan,24,Ligue 1,Defender,Reims,1333,608,725,16,7,9,0,0,0,1,0,10,3,7,2,0.07,0.07,0,0,0,0,83,1333
Gil Dias,24,Ligue 1,Forward,Monaco,1057,497,560,14,7,7,0,0,0,0,0,11,6,5,3,0,0,0,0,0,0,76,0
Glody Ngonda Muzinga,25,Ligue 1,Defender,Dijon,540,180,360,6,2,4,0,0,0,0,0,9,3,6,1,0,0,0,0,0,0,90,0
Gnaly Maxwell Cornet,24,Ligue 1,Forward,Olympique Lyonnais,1327,558,769,22,10,12,4,1,3,3,0,15,5,10,1,0.47,0.2,0.27,0.16,0.35,332,60,442
Guillaume Dietsch,19,Ligue 1,Goalkeeper,Metz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guillermo Maripán,26,Ligue 1,Defender,Monaco,1755,810,945,20,9,11,2,1,1,0,0,29,12,17,2,0.1,0,0.1,0.11,0.1,878,88,0
Habibou Mouhamadou Diallo,25,Ligue 1,Forward,Metz,2200,1070,1130,26,13,13,12,7,5,3,1,29,13,16,3,0.61,0.12,0.49,0.59,0.4,183,85,733
Haitam Aleesami,29,Ligue 1,Defender,Amiens SC,1916,810,1106,22,9,13,1,1,0,1,0,41,17,24,4,0.09,0.05,0.05,0.11,0,1916,87,1916
Hamari Traoré,28,Ligue 1,Defender,Rennes,2413,1260,1153,27,14,13,0,0,0,5,0,20,12,8,7,0.19,0.19,0,0,0,0,89,483
Hamza Mendyl,23,Ligue 1,Defender,Dijon,1442,888,554,18,11,7,1,1,0,0,0,18,7,11,8,0.06,0,0.06,0.1,0,1442,80,0
Haris Belkebla,26,Ligue 1,Midfielder,Brest,1815,907,908,23,11,12,0,0,0,0,0,21,9,12,4,0,0,0,0,0,0,79,0
Haris Duljević,26,Ligue 1,Midfielder,Nîmes,515,268,247,14,7,7,0,0,0,3,0,11,2,9,0,0.52,0.52,0,0,0,0,37,172
Harold Moukoudi,22,Ligue 1,Defender,Saint-Étienne,990,360,630,11,4,7,0,0,0,0,0,17,5,12,3,0,0,0,0,0,0,90,0
Hassane Kamara,26,Ligue 1,Midfielder,Reims,1706,765,941,23,10,13,2,0,2,0,0,13,4,9,5,0.11,0,0.11,0,0.19,853,74,0
Henry Chukwuemeka Onyekuru,23,Ligue 1,Forward,Monaco,160,74,86,4,1,3,0,0,0,1,0,4,1,3,0,0.56,0.56,0,0,0,0,40,160
Hiang'a Mananga Mbock,20,Ligue 1,Midfielder,Brest,140,90,50,2,1,1,1,0,1,0,0,1,1,0,0,0.64,0,0.64,0,1.8,140,70,0
Hichem Boudaoui,21,Ligue 1,Midfielder,Nice,492,254,238,9,5,4,1,1,0,2,0,9,3,6,3,0.55,0.37,0.18,0.35,0,492,55,246
Hiroki Sakai,30,Ligue 1,Defender,Olympique Marseille,1622,827,795,21,11,10,0,0,0,0,0,15,6,9,3,0,0,0,0,0,0,77,0
Houssem Aouar,22,Ligue 1,Midfielder,Olympique Lyonnais,1963,970,993,25,12,13,3,1,2,4,0,21,6,15,3,0.32,0.18,0.14,0.09,0.18,654,79,491
Hugo Magnetti,22,Ligue 1,Midfielder,Brest,231,96,135,8,3,5,0,0,0,0,0,4,1,3,1,0,0,0,0,0,0,29,0
Hyun-Jun Suk,29,Ligue 1,Forward,Reims,251,85,166,13,6,7,1,0,1,1,0,2,0,2,3,0.72,0.36,0.36,0,0.54,251,19,251
Ibrahim Cissé,24,Ligue 1,Defender,Angers SCO,61,61,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,61,0
Ibrahim Cissé,21,Ligue 1,Defender,Nice,48,34,14,2,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,24,0
Ibrahim Sangaré,22,Ligue 1,Midfielder,Toulouse,2177,990,1187,25,11,14,0,0,0,1,0,48,18,30,8,0.04,0.04,0,0,0,0,87,2177
Ibrahima Diallo,21,Ligue 1,Midfielder,Brest,1563,816,747,19,10,9,0,0,0,1,0,24,6,18,2,0.06,0.06,0,0,0,0,82,1563
Ibrahima Niane,21,Ligue 1,Forward,Metz,946,451,495,21,10,11,3,2,1,0,1,9,4,5,0,0.29,0,0.29,0.4,0.18,315,45,0
Ibrahima Sissoko,23,Ligue 1,Midfielder,Strasbourg,1597,636,961,23,10,13,0,0,0,1,0,17,7,10,5,0.06,0.06,0,0,0,0,69,1597
Idrissa Gana Gueye,31,Ligue 1,Midfielder,PSG,1655,883,772,20,10,10,1,1,0,2,0,15,8,7,2,0.16,0.11,0.05,0.1,0,1655,83,828
Ignatius Kpene Ganago,21,Ligue 1,Forward,Nice,1233,609,624,26,13,13,3,2,1,1,0,18,9,9,0,0.29,0.07,0.22,0.3,0.14,411,47,1233
Ihsan Sacko,23,Ligue 1,Midfielder,Nice,145,92,53,3,2,1,0,0,0,0,0,3,2,1,0,0,0,0,0,0,0,48,0
Il-Lok Yun,28,Ligue 1,Forward,Montpellier,118,11,107,5,2,3,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,24,0
Imran Louza,21,Ligue 1,Midfielder,Nantes,2012,1005,1007,24,12,12,2,1,1,2,0,22,9,13,4,0.18,0.09,0.09,0.09,0.09,1006,84,1006
Irvin Cardona,23,Ligue 1,Forward,Brest,1449,703,746,21,10,11,6,3,3,3,0,21,7,14,3,0.56,0.19,0.37,0.38,0.36,242,69,483
Isaac Lihadji,18,Ligue 1,Forward,Olympique Marseille,23,0,23,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0
Isaac Mbenza,24,Ligue 1,Forward,Amiens SC,83,21,62,3,2,1,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,28,0
Islam Slimani,32,Ligue 1,Forward,Monaco,1285,707,578,18,9,9,9,4,5,7,1,18,11,7,6,1.12,0.49,0.63,0.51,0.78,143,71,184
Ismael Aaneba,21,Ligue 1,Defender,Strasbourg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ismaël Traoré,34,Ligue 1,Defender,Angers SCO,2053,1153,900,23,13,10,0,0,0,0,0,21,11,10,4,0,0,0,0,0,0,89,0
Issiaga Sylla,26,Ligue 1,Defender,Toulouse,2520,1170,1350,28,13,15,0,0,0,2,0,52,20,32,2,0.07,0.07,0,0,0,0,90,1260
Ivann Botella,21,Ligue 1,Forward,Strasbourg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jack Lahne,19,Ligue 1,Forward,Amiens SC,8,0,8,1,0,1,1,0,1,0,0,0,0,0,0,11.25,0,11.25,0,11.25,8,8,0
Jacques-Alaixys Romao,36,Ligue 1,Midfielder,Reims,1785,893,892,22,11,11,0,0,0,0,0,13,4,9,11,0,0,0,0,0,0,81,0
Jakob Johansson,30,Ligue 1,Midfielder,Rennes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
James Edward Lea Siliki,24,Ligue 1,Midfielder,Rennes,1078,551,527,20,12,8,0,0,0,0,0,5,2,3,4,0,0,0,0,0,0,54,0
Janis Antiste,18,Ligue 1,Forward,Toulouse,11,11,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0
Jason Denayer,25,Ligue 1,Defender,Olympique Lyonnais,2132,1074,1058,25,12,13,0,0,0,1,0,22,6,16,0,0.04,0.04,0,0,0,0,85,2132
Jason Mbock,21,Ligue 1,Forward,Angers SCO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jean Emile Junior Onana Onana,20,Ligue 1,Defender,Lille,80,80,0,1,1,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,80,0
Jean Eudès Aholou,26,Ligue 1,Midfielder,Saint-Étienne,633,313,320,11,6,5,1,0,1,1,0,9,3,6,4,0.28,0.14,0.14,0,0.28,633,58,633
Jean Lucas de Souza Oliveira,22,Ligue 1,Midfielder,Olympique Lyonnais,191,95,96,11,5,6,1,1,0,0,0,0,0,0,3,0.47,0,0.47,0.95,0,191,17,0
Jean Marcelin,20,Ligue 1,Defender,Monaco,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jean-Charles Castelletto,25,Ligue 1,Defender,Brest,1841,924,917,22,11,11,1,1,0,0,0,29,8,21,4,0.05,0,0.05,0.1,0,1841,84,0
Jean-Kévin Augustin,23,Ligue 1,Forward,Monaco,260,138,122,10,6,4,0,0,0,0,0,4,3,1,0,0,0,0,0,0,0,26,0
Jean-Kevin Duverne,23,Ligue 1,Defender,Brest,1177,540,637,14,6,8,0,0,0,0,0,18,5,13,0,0,0,0,0,0,0,84,0
Jean-Victor Makengo,22,Ligue 1,Midfielder,Toulouse,988,266,722,19,8,11,2,2,0,0,0,19,4,15,1,0.18,0,0.18,0.68,0,494,52,0
Jeanricner Bellegarde,22,Ligue 1,Midfielder,Strasbourg,1499,608,891,24,11,13,0,0,0,0,0,17,6,11,2,0,0,0,0,0,0,62,0
Jeff Reine-Adelaide,22,Ligue 1,Midfielder,Olympique Lyonnais,869,550,319,15,9,6,3,2,1,2,0,10,3,7,3,0.52,0.21,0.31,0.33,0.28,290,58,435
Jemerson,28,Ligue 1,Defender,Monaco,1060,552,508,13,7,6,0,0,0,0,0,15,8,7,3,0,0,0,0,0,0,82,0
Jérémy Gelin,23,Ligue 1,Defender,Rennes,922,430,492,14,7,7,0,0,0,0,0,8,6,2,1,0,0,0,0,0,0,66,0
Jeremy Grimm,33,Ligue 1,Midfielder,Strasbourg,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jérémy Morel,36,Ligue 1,Defender,Rennes,1806,906,900,21,11,10,1,0,1,0,0,15,8,7,2,0.05,0,0.05,0,0.1,1806,86,0
Jérémy Pied,31,Ligue 1,Defender,Lille,450,180,270,5,2,3,0,0,0,0,0,5,1,4,2,0,0,0,0,0,0,90,0
Jesé,27,Ligue 1,Forward,PSG,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jessy Moulin,34,Ligue 1,Goalkeeper,Saint-Étienne,450,270,180,5,3,2,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,90,0
Jhonder Leonel Cádiz Fernández,25,Ligue 1,Forward,Dijon,791,344,447,17,8,9,2,1,1,2,0,12,5,7,3,0.46,0.23,0.23,0.26,0.2,396,47,396
Jimmy Briand,35,Ligue 1,Forward,Bordeaux,1527,687,840,22,10,12,7,4,3,1,1,16,6,10,1,0.47,0.06,0.41,0.52,0.32,218,69,1527
Joachim Andersen,24,Ligue 1,Defender,Olympique Lyonnais,1530,630,900,18,7,11,1,0,1,0,0,15,5,10,3,0.06,0,0.06,0,0.1,1530,85,0
John Boye,33,Ligue 1,Defender,Metz,2116,1126,990,24,13,11,2,2,0,0,0,26,13,13,6,0.09,0,0.09,0.16,0,1058,88,0
John Stiven Mendoza Valencia,28,Ligue 1,Forward,Amiens SC,1102,567,535,15,8,7,5,2,3,0,0,26,12,14,2,0.41,0,0.41,0.32,0.5,220,73,0
Johnathan Panzo,20,Ligue 1,Defender,Monaco,106,106,0,2,2,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,53,0
Jonas Martin,30,Ligue 1,Midfielder,Rennes,359,171,188,6,3,3,0,0,0,0,0,4,3,1,1,0,0,0,0,0,0,60,0
Jonathan Bamba,24,Ligue 1,Forward,Lille,1942,1044,898,26,14,12,1,1,0,4,1,18,6,12,1,0.23,0.19,0.05,0.09,0,1942,75,486
Jonathan Bumbu,21,Ligue 1,Midfielder,Amiens SC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jonathan Cafu,29,Ligue 1,Midfielder,Bordeaux,201,180,21,3,2,1,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,67,0
Jordan Amavi,26,Ligue 1,Defender,Olympique Marseille,2163,1129,1034,26,14,12,1,1,0,1,0,17,10,7,9,0.08,0.04,0.04,0.08,0,2163,83,2163
Jordan Ferri,28,Ligue 1,Midfielder,Montpellier,1153,574,579,16,7,9,0,0,0,0,0,17,4,13,2,0,0,0,0,0,0,72,0
Jordan Lefort,27,Ligue 1,Defender,Amiens SC,840,326,514,10,4,6,0,0,0,1,0,22,7,15,2,0.11,0.11,0,0,0,0,84,840
Jordan Marié,29,Ligue 1,Midfielder,Dijon,195,81,114,8,4,4,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,24,0
Jorge,24,Ligue 1,Defender,Monaco,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Joris Chotard,19,Ligue 1,Midfielder,Montpellier,1252,665,587,20,11,9,0,0,0,0,0,17,8,9,5,0,0,0,0,0,0,63,0
Joris Gnagnon,23,Ligue 1,Defender,Rennes,1274,542,732,19,8,11,0,0,0,1,0,14,6,8,2,0.07,0.07,0,0,0,0,67,1274
Joris Kayembe Ditu,26,Ligue 1,Midfielder,Nantes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jose Fonte,36,Ligue 1,Defender,Lille,2206,1216,990,25,14,11,1,0,1,1,0,22,9,13,4,0.08,0.04,0.04,0,0.09,2206,88,2206
Josh Maja,21,Ligue 1,Forward,Bordeaux,722,363,359,21,10,11,6,4,2,2,0,5,2,3,0,1,0.25,0.75,0.99,0.5,120,34,361
Josué Homawoo,23,Ligue 1,Defender,Nantes,44,0,44,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0
Juan Bernat,27,Ligue 1,Defender,PSG,1390,888,502,18,10,8,0,0,0,4,0,13,8,5,5,0.26,0.26,0,0,0,0,77,348
Juan Ferney Otero Tovar,25,Ligue 1,Forward,Amiens SC,1206,605,601,18,10,8,1,1,0,2,0,19,13,6,1,0.22,0.15,0.07,0.15,0,1206,67,603
Julian Draxler,27,Ligue 1,Midfielder,PSG,685,396,289,11,5,6,0,0,0,4,0,9,2,7,5,0.53,0.53,0,0,0,0,62,171
Julien Fabri,26,Ligue 1,Goalkeeper,Brest,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Julien Faussurier,33,Ligue 1,Defender,Brest,1980,1080,900,22,12,10,2,1,1,3,0,28,8,20,1,0.23,0.14,0.09,0.08,0.1,990,90,660
Júlio Tavares,31,Ligue 1,Forward,Dijon,1997,990,1007,23,11,12,5,3,2,2,1,26,9,17,0,0.32,0.09,0.23,0.27,0.18,399,87,999
Kader Bamba,26,Ligue 1,Midfielder,Nantes,1468,753,715,27,13,14,1,0,1,3,0,13,4,9,5,0.25,0.18,0.06,0,0.13,1468,54,489
Kaj Sierhuis,22,Ligue 1,Forward,Reims,13,13,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0
Kalidou Sidibé,21,Ligue 1,Midfielder,Toulouse,87,33,54,4,2,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,22,0
Kalifa Coulibaly,29,Ligue 1,Forward,Nantes,1616,974,642,21,12,9,4,1,3,0,0,13,7,6,1,0.22,0,0.22,0.09,0.42,404,77,0
Kamil Glik,32,Ligue 1,Defender,Monaco,2070,1170,900,23,13,10,1,1,0,0,0,34,20,14,5,0.04,0,0.04,0.08,0,2070,90,0
Karl Toko Ekambi,28,Ligue 1,Forward,Olympique Lyonnais,538,258,280,8,4,4,2,1,1,1,0,5,1,4,2,0.5,0.17,0.33,0.35,0.32,269,67,538
Kasper Dolberg,23,Ligue 1,Forward,Nice,1895,1082,813,23,13,10,11,9,2,3,0,26,15,11,2,0.66,0.14,0.52,0.75,0.22,172,82,632
Keagan Dolly,27,Ligue 1,Midfielder,Montpellier,143,31,112,6,3,3,0,0,0,0,0,2,0,2,1,0,0,0,0,0,0,24,0
Keita Baldé Diao,25,Ligue 1,Forward,Monaco,853,389,464,21,9,12,4,4,0,1,0,13,5,8,4,0.53,0.11,0.42,0.93,0,213,41,853
Kelvin Amian Adou,22,Ligue 1,Defender,Toulouse,1630,730,900,20,10,10,0,0,0,2,0,37,14,23,3,0.11,0.11,0,0,0,0,82,815
Kelyan Guessoum,21,Ligue 1,Defender,Nîmes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kenny Lala,29,Ligue 1,Defender,Strasbourg,2040,1023,1017,25,13,12,2,2,0,1,2,20,12,8,1,0.13,0.04,0.09,0.18,0,1020,82,2040
Kenny Tete,25,Ligue 1,Defender,Olympique Lyonnais,1064,544,520,18,8,10,0,0,0,1,0,12,5,7,1,0.08,0.08,0,0,0,0,59,1064
Kévin Lucien Zohi,23,Ligue 1,Midfielder,Strasbourg,525,186,339,17,8,9,1,0,1,1,0,2,0,2,1,0.34,0.17,0.17,0,0.27,525,31,525
Kévin Mayi,27,Ligue 1,Forward,Brest,2,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Kévin Monnet-Paquet,32,Ligue 1,Forward,Saint-Étienne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kevin N'Doram,24,Ligue 1,Defender,Metz,1646,656,990,20,9,11,0,0,0,0,0,22,9,13,2,0,0,0,0,0,0,82,0
Kevin Strootman,30,Ligue 1,Midfielder,Olympique Marseille,1408,768,640,25,13,12,2,1,1,3,1,14,5,9,7,0.32,0.19,0.13,0.12,0.14,704,56,469
Keylor Navas,33,Ligue 1,Goalkeeper,PSG,1890,990,900,21,11,10,0,0,0,0,0,16,7,9,0,0,0,0,0,0,0,90,0
Khéphren Thuram-Ulie,19,Ligue 1,Midfielder,Nice,588,266,322,14,6,8,0,0,0,0,0,7,5,2,1,0,0,0,0,0,0,42,0
Kouadio Kone,19,Ligue 1,Midfielder,Toulouse,875,271,604,13,4,9,0,0,0,0,0,18,4,14,5,0,0,0,0,0,0,67,0
Kylian Kaïboué,22,Ligue 1,Midfielder,Montpellier,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kylian Mbappé,21,Ligue 1,Forward,PSG,1515,848,667,20,11,9,18,11,7,5,0,16,9,7,0,1.37,0.3,1.07,1.17,0.94,84,76,303
Lamine Fomba,22,Ligue 1,Midfielder,Nîmes,1374,599,775,20,10,10,0,0,0,0,0,26,9,17,6,0,0,0,0,0,0,69,0
Lamine Koné,31,Ligue 1,Defender,Strasbourg,1474,646,828,18,8,10,1,1,0,0,0,20,7,13,4,0.06,0,0.06,0.14,0,1474,82,0
Laurent Koscielny,35,Ligue 1,Defender,Bordeaux,2184,1014,1170,25,12,13,0,0,0,0,0,25,10,15,3,0,0,0,0,0,0,87,0
Layvin Kurzawa,28,Ligue 1,Defender,PSG,855,407,448,14,5,9,1,1,0,0,0,7,3,4,4,0.11,0,0.11,0.22,0,855,61,0
Leandro Daniel Paredes,26,Ligue 1,Midfielder,PSG,807,358,449,17,9,8,0,0,0,1,0,9,2,7,2,0.11,0.11,0,0,0,0,47,807
Lebo Mothiba,24,Ligue 1,Forward,Strasbourg,1047,564,483,21,11,10,4,3,1,3,0,19,9,10,0,0.6,0.26,0.34,0.48,0.19,262,50,349
Lenny Lacroix,17,Ligue 1,Defender,Metz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Léo Dubois,26,Ligue 1,Defender,Olympique Lyonnais,1347,610,737,16,7,9,0,0,0,0,0,11,4,7,3,0,0,0,0,0,0,84,0
Leonardo Cesar Jardim,25,Ligue 1,Goalkeeper,Lille,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Levy Kahamba Ntumba,19,Ligue 1,Goalkeeper,Dijon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lionel Jules Carole,29,Ligue 1,Defender,Strasbourg,1271,527,744,18,8,10,0,0,0,0,0,21,9,12,3,0,0,0,0,0,0,71,0
Logan Costa,19,Ligue 1,Defender,Reims,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Loïc Mbe Soh,19,Ligue 1,Forward,PSG,59,59,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,59,0
Loïc Perrin,35,Ligue 1,Defender,Saint-Étienne,1715,990,725,21,11,10,0,0,0,0,0,28,16,12,5,0,0,0,0,0,0,82,0
Loïc Rémy,33,Ligue 1,Forward,Lille,964,559,405,20,10,10,7,7,0,0,0,6,4,2,2,0.65,0,0.65,1.13,0,138,48,0
Loïck Landre,28,Ligue 1,Defender,Nîmes,929,402,527,11,5,6,1,0,1,0,0,15,5,10,2,0.1,0,0.1,0,0.17,929,84,0
Loïs Diony,27,Ligue 1,Forward,Saint-Étienne,669,290,379,12,5,7,2,0,2,0,0,7,1,6,1,0.27,0,0.27,0,0.47,335,56,0
Loris Benito,28,Ligue 1,Defender,Bordeaux,1896,643,1253,23,8,15,1,0,1,0,0,25,7,18,5,0.05,0,0.05,0,0.07,1896,82,0
Lovre Kalinić,30,Ligue 1,Goalkeeper,Toulouse,306,90,216,4,1,3,0,0,0,0,0,4,1,3,0,0,0,0,0,0,0,77,0
Lucas Buadés,22,Ligue 1,Forward,Nîmes,117,97,20,6,2,4,0,0,0,0,0,4,3,1,0,0,0,0,0,0,0,20,0
Lucas Da Cunha,19,Ligue 1,Midfielder,Rennes,72,65,7,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0
Lucas Deaux,31,Ligue 1,Midfielder,Nîmes,1338,711,627,17,9,8,2,1,1,1,0,18,4,14,2,0.2,0.07,0.13,0.13,0.14,669,79,1338
Lucas Gourna Douath,17,Ligue 1,Midfielder,Saint-Étienne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lucas Lima,29,Ligue 1,Defender,Nantes,270,90,180,3,1,2,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,90,0
Lucas Lionel Dias,21,Ligue 1,Goalkeeper,Nîmes,316,90,226,4,1,3,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,79,0
Lucas Perrin,21,Ligue 1,Midfielder,Olympique Marseille,360,90,270,4,1,3,0,0,0,0,0,3,1,2,2,0,0,0,0,0,0,90,0
Lucas Tousart,23,Ligue 1,Midfielder,Olympique Lyonnais,1761,763,998,24,10,14,2,0,2,2,0,19,5,14,5,0.2,0.1,0.1,0,0.18,881,73,881
Lucas Valls,22,Ligue 1,Midfielder,Nîmes,10,10,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
Ludovic Ajorque,26,Ligue 1,Forward,Strasbourg,2068,1059,1009,26,12,14,8,5,3,4,1,20,12,8,3,0.52,0.17,0.35,0.42,0.27,259,80,517
Ludovic Baal,34,Ligue 1,Defender,Brest,825,360,465,11,4,7,0,0,0,0,0,10,1,9,1,0,0,0,0,0,0,75,0
Ludovic Blas,22,Ligue 1,Midfielder,Nantes,1858,899,959,24,12,12,5,4,1,1,0,24,10,14,0,0.29,0.05,0.24,0.4,0.09,372,77,1858
Ludovic Butelle,37,Ligue 1,Goalkeeper,Angers SCO,2340,1350,990,26,15,11,0,0,0,0,0,30,13,17,0,0,0,0,0,0,0,90,0
Luiz Araújo,24,Ligue 1,Forward,Lille,819,279,540,21,10,11,2,1,1,1,0,12,3,9,1,0.33,0.11,0.22,0.32,0.17,410,39,819
Luiz Gustavo Dias,33,Ligue 1,Midfielder,Olympique Marseille,189,90,99,3,1,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,63,0
