full_name,age,league,position,Current Club,minutes_played_overall,minutes_played_home,minutes_played_away,appearances_overall,appearances_home,appearances_away,goals_overall,goals_home,goals_away,assists_overall,penalty_goals,conceded_overall,conceded_home,conceded_away,yellow_cards_overall,goals_involved_per_90_overall,assists_per_90_overall,goals_per_90_overall,goals_per_90_home,goals_per_90_away,min_per_goal_overall,min_per_match,min_per_assist_overall
Arnaud Nordin,22,Ligue 1,Midfielder,Saint-Étienne,905,494,411,18,10,8,1,0,1,0,0,14,8,6,2,0.1,0,0.1,0,0.22,905,50,0
Arnaud Souquet,28,Ligue 1,Defender,Montpellier,2015,1018,997,24,12,12,2,2,0,0,0,24,8,16,6,0.09,0,0.09,0.18,0,1008,84,0
Arthur Zagre,19,Ligue 1,Defender,Monaco,24,24,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0
Arturo Calabresi,24,Ligue 1,Defender,Amiens SC,1879,799,1080,21,9,12,1,0,1,1,0,37,13,24,5,0.1,0.05,0.05,0,0.08,1879,89,1879
Assane Dioussé,23,Ligue 1,Midfielder,Saint-Étienne,117,108,9,4,3,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,29,0
Aurélien Bayard Chedjou Fongang,35,Ligue 1,Defender,Amiens SC,1972,1072,900,22,12,10,0,0,0,0,0,35,20,15,4,0,0,0,0,0,0,90,0
Aurélien Tchouaméni,20,Ligue 1,Midfielder,Monaco,1175,435,740,18,7,11,0,0,0,1,0,12,2,10,6,0.08,0.08,0,0,0,0,65,1175
Axel Disasi,22,Ligue 1,Defender,Reims,2430,1170,1260,27,13,14,1,0,1,0,0,19,7,12,3,0.04,0,0.04,0,0.07,2430,90,0
Azzedine Ounahi,20,Ligue 1,Defender,Strasbourg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bafodé Diakité,20,Ligue 1,Defender,Toulouse,1368,567,801,16,7,9,2,2,0,0,0,26,9,17,2,0.13,0,0.13,0.32,0,684,86,0
Bakary Adama Soumaoro,28,Ligue 1,Defender,Lille,413,233,180,6,4,2,1,0,1,0,0,5,2,3,0,0.22,0,0.22,0,0.5,413,69,0
Bakaye Dibassy,31,Ligue 1,Defender,Amiens SC,1870,931,939,22,11,11,2,1,1,0,0,34,13,21,6,0.1,0,0.1,0.1,0.1,935,85,0
Balthazar Pierret,20,Ligue 1,Midfielder,Nice,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Baptiste Reynet,30,Ligue 1,Goalkeeper,Toulouse,2034,990,1044,23,11,12,0,0,0,0,0,43,17,26,1,0,0,0,0,0,0,88,0
Baptiste Santamaria,25,Ligue 1,Midfielder,Angers SCO,2506,1336,1170,28,15,13,1,1,0,1,0,31,13,18,1,0.07,0.04,0.04,0.07,0,2506,90,2506
