full_name,age,league,position,current_club,minutes_played_overall,minutes_played_home,minutes_played_away,appearances_overall,appearances_home,appearances_away,goals_overall,goals_home,goals_away,assists_overall,penalty_goals,conceded_overall,conceded_home,conceded_away,yellow_cards_overall,goals_involved_per_90_overall,assists_per_90_overall,goals_per_90_overall,goals_per_90_home,goals_per_90_away,min_per_goal_overall,min_per_match,min_per_assist_overall
Hatem Ben Arfa,33,La Liga,Midfielder,Real Valladolid,158,40,118,5,3,2,0,0,0,0,0,2,1,1,1,0,0,0,0,0,0,32,0
Héctor Junior Firpo Adames,24,La Liga,Defender,FC Barcelona,1011,607,404,17,9,8,1,0,1,1,0,11,6,5,5,0.18,0.09,0.09,0,0.22,1011,59,1011
Héctor Miguel Herrera López,30,La Liga,Midfielder,Atlético Madrid,1120,553,567,21,9,12,0,0,0,2,0,6,4,2,1,0.16,0.16,0,0,0,0,53,560
Hernâni Jorge Santos Fortes,29,La Liga,Forward,Levante UD,643,359,284,20,11,9,2,1,1,0,0,9,4,5,3,0.28,0,0.28,0.25,0.32,322,32,0
Hugo Duro Perales,21,La Liga,Forward,Getafe CF,374,184,190,12,4,8,1,1,0,1,0,6,4,2,3,0.48,0.24,0.24,0.49,0,374,31,374
Hugo Guillamón Sanmartín,20,La Liga,Defender,Valencia CF,494,270,224,6,3,3,0,0,0,0,0,6,0,6,3,0,0,0,0,0,0,82,0
Hugo Mallo,29,La Liga,Defender,Celta de Vigo,1963,947,1016,27,14,13,0,0,0,1,0,22,8,14,7,0.05,0.05,0,0,0,0,73,1963
Iago Aspas,33,La Liga,Forward,Celta de Vigo,3268,1664,1604,37,19,18,14,7,7,3,5,44,18,26,9,0.47,0.08,0.39,0.38,0.39,233,88,1089
Iago Domínguez Rodríguez,18,La Liga,Goalkeeper,Celta de Vigo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iago Herrerín,32,La Liga,Goalkeeper,Athletic Club Bilbao,424,154,270,5,2,3,0,0,0,0,0,7,2,5,0,0,0,0,0,0,0,85,0
Ibai Gomez,30,La Liga,Midfielder,Athletic Club Bilbao,688,448,240,17,11,6,0,0,0,0,0,5,2,3,0,0,0,0,0,0,0,40,0
Ibrahim Amadou,27,La Liga,Midfielder,Leganés,772,347,425,10,4,6,0,0,0,0,0,10,7,3,2,0,0,0,0,0,0,77,0
Iddrisu Baba Mohammed,24,La Liga,Midfielder,RCD Mallorca,2914,1528,1386,36,19,17,0,0,0,0,0,53,19,34,6,0,0,0,0,0,0,81,0
Ignacio Peña Sotorres,21,La Liga,Goalkeeper,FC Barcelona,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Igor Zubeldia,23,La Liga,Midfielder,Real Sociedad,2639,1299,1340,33,16,17,0,0,0,1,0,36,15,21,9,0.03,0.03,0,0,0,0,80,2639
Iker Losada Aragunde,19,La Liga,Midfielder,Celta de Vigo,11,11,0,2,2,0,1,1,0,0,0,0,0,0,0,8.18,0,8.18,8.18,0,11,6,0
Iker Muniain,27,La Liga,Forward,Athletic Club Bilbao,2392,1357,1035,31,16,15,5,5,0,2,0,25,11,14,5,0.26,0.08,0.19,0.33,0,478,77,1196
Iñaki Álvarez Goñi,0,La Liga,Goalkeeper,CA Osasuna,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iñaki Williams,26,La Liga,Forward,Athletic Club Bilbao,2958,1556,1402,38,19,19,6,2,4,1,1,29,12,17,3,0.21,0.03,0.18,0.12,0.26,493,78,2958
Iñigo Córdoba,23,La Liga,Midfielder,Athletic Club Bilbao,1455,791,664,24,12,12,1,0,1,4,0,14,5,9,4,0.31,0.25,0.06,0,0.14,1455,61,364
Íñigo Lekue,27,La Liga,Defender,Athletic Club Bilbao,617,112,505,14,5,9,0,0,0,1,0,11,2,9,0,0.15,0.15,0,0,0,0,44,617
Iñigo Martínez,29,La Liga,Defender,Athletic Club Bilbao,2970,1530,1440,33,17,16,1,1,0,1,0,30,12,18,10,0.06,0.03,0.03,0.06,0,2970,90,2970
Iñigo Pérez Soto,32,La Liga,Midfielder,CA Osasuna,1074,634,440,22,13,9,2,2,0,1,0,21,14,7,4,0.25,0.08,0.17,0.28,0,537,49,1074
Isco,28,La Liga,Midfielder,Real Madrid,1188,333,855,23,10,13,1,0,1,2,0,7,1,6,2,0.23,0.15,0.08,0,0.11,1188,52,594
Ismael Gutiérrez Montilla,20,La Liga,Midfielder,Deportivo Alavés,83,71,12,3,1,2,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,28,0
İsmail Köybaşı,31,La Liga,Defender,Granada CF,232,96,136,4,2,2,0,0,0,0,0,3,0,3,1,0,0,0,0,0,0,58,0
Iván Amores Alonso,23,La Liga,Midfielder,Leganés,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iván Cuéllar,36,La Liga,Goalkeeper,Leganés,2430,1170,1260,27,13,14,0,0,0,0,0,32,18,14,4,0,0,0,0,0,0,90,0
Iván López Cristóbal,22,La Liga,Defender,Leganés,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iván Martín Núñez,21,La Liga,Midfielder,Villarreal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ivan Rakitić,32,La Liga,Midfielder,FC Barcelona,1584,908,676,31,15,16,1,1,0,3,0,12,5,7,5,0.23,0.17,0.06,0.1,0,1584,51,528
Iván Ramis,36,La Liga,Defender,SD Eibar,459,125,334,7,3,4,1,1,0,0,0,10,2,8,1,0.2,0,0.2,0.72,0,459,66,0
Ivan Šaponjić,23,La Liga,Forward,Atlético Madrid,4,2,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
Iván Villar Martínez,23,La Liga,Goalkeeper,Celta de Vigo,279,99,180,4,2,2,0,0,0,0,0,4,3,1,0,0,0,0,0,0,0,70,0
Jacobo González Rodrigañez,23,La Liga,Midfielder,Celta de Vigo,83,81,2,2,1,1,0,0,0,0,0,2,2,0,1,0,0,0,0,0,0,42,0
Jaime Mata Arnaiz,32,La Liga,Forward,Getafe CF,2759,1283,1476,34,17,17,11,4,7,3,3,23,10,13,14,0.46,0.1,0.36,0.28,0.43,251,81,920
James Rodriguez,29,La Liga,Midfielder,Real Madrid,419,162,257,8,4,4,1,1,0,1,0,3,2,1,1,0.43,0.21,0.21,0.56,0,419,52,419
Jan Oblak,27,La Liga,Goalkeeper,Atlético Madrid,3396,1710,1686,38,19,19,0,0,0,0,0,24,10,14,0,0,0,0,0,0,0,89,0
Jason Remeseiro,26,La Liga,Forward,Getafe CF,1182,601,581,20,11,9,1,0,1,4,0,15,7,8,5,0.38,0.3,0.08,0,0.15,1182,59,296
Jasper Cillessen,31,La Liga,Goalkeeper,Valencia CF,2097,1080,1017,24,12,12,0,0,0,1,0,26,6,20,1,0.04,0.04,0,0,0,0,87,2097
Jaume Costa,32,La Liga,Defender,Valencia CF,1390,691,699,19,10,9,0,0,0,1,0,16,6,10,4,0.06,0.06,0,0,0,0,73,1390
Jaume Doménech,30,La Liga,Goalkeeper,Valencia CF,1323,630,693,15,7,8,0,0,0,0,0,22,6,16,1,0,0,0,0,0,0,88,0
Javi García,33,La Liga,Midfielder,Real Betis,374,108,266,8,4,4,0,0,0,0,0,6,2,4,2,0,0,0,0,0,0,47,0
Javier Avilés Cortés,23,La Liga,Midfielder,Leganés,178,86,92,9,5,4,1,0,1,1,0,2,2,0,1,1.01,0.51,0.51,0,0.98,178,20,178
Javier Díaz Sánchez,23,La Liga,Goalkeeper,Sevilla FC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Javier Enrique Delgado Saverio,21,La Liga,Forward,FC Barcelona,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Javier Eraso,30,La Liga,Midfielder,Leganés,817,432,385,20,11,9,0,0,0,0,0,9,5,4,3,0,0,0,0,0,0,41,0
Javier Hernandez,32,La Liga,Forward,Sevilla FC,446,226,220,9,5,4,1,1,0,0,0,4,1,3,0,0.2,0,0.2,0.4,0,446,50,0
Javier Hernández Carrera,22,La Liga,Defender,Real Madrid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
